"신청_ID","행사_ID","이름","신청상태","신청일","인화체험","식음료"
"A161","E04","가상학생161","대기","2026-09-11","신청","신청"
"A162","E04","가상학생162","대기","2026-09-11","신청","신청"
"A163","E04","가상학생163","대기","2026-09-11","신청","신청"
"A164","E04","가상학생164","대기","2026-09-11","미신청","신청"
"A165","E04","가상학생165","대기","2026-09-11","신청","받지않음"
"A166","E04","가상학생166","대기","2026-09-12","신청","신청"
"A167","E04","가상학생167","대기","2026-09-12","신청","신청"
"A168","E04","가상학생168","대기","2026-09-12","미신청","신청"
"A169","E04","가상학생169","대기","2026-09-12","신청","신청"
"A170","E04","가상학생170","대기","2026-09-12","신청","받지않음"
"A171","E04","가상학생171","대기","2026-09-12","신청","신청"
"A172","E04","가상학생172","대기","2026-09-12","미신청","신청"
"A173","E04","가상학생173","대기","2026-09-12","신청","신청"
"A174","E04","가상학생174","대기","2026-09-12","신청","신청"
"A175","E04","가상학생175","대기","2026-09-12","신청","받지않음"
"A176","E04","가상학생176","대기","2026-09-12","미신청","신청"
"A177","E04","가상학생177","대기","2026-09-12","신청","신청"
"A178","E04","가상학생178","대기","2026-09-12","신청","신청"
"A179","E04","가상학생179","대기","2026-09-12","신청","신청"
"A180","E04","가상학생180","대기","2026-09-12","미신청","받지않음"
"A181","E04","가상학생181","취소","2026-09-13","신청","신청"
"A182","E04","가상학생182","취소","2026-09-13","신청","신청"
"A183","E04","가상학생183","취소","2026-09-13","신청","신청"
"A184","E04","가상학생184","취소","2026-09-13","미신청","신청"
"A185","E04","가상학생185","취소","2026-09-13","신청","받지않음"
"A186","E04","가상학생186","취소","2026-09-13","신청","신청"
"A187","E04","가상학생187","취소","2026-09-13","신청","신청"
"A188","E04","가상학생188","취소","2026-09-13","미신청","신청"
"A189","E04","가상학생189","취소","2026-09-13","신청","신청"
"A190","E04","가상학생190","취소","2026-09-13","신청","받지않음"
"A191","E04","가상학생191","취소","2026-09-13","신청","신청"
"A192","E04","가상학생192","취소","2026-09-13","미신청","신청"
"A193","E04","가상학생193","취소","2026-09-13","신청","신청"
"A194","E04","가상학생194","취소","2026-09-13","신청","신청"
"A195","E04","가상학생195","취소","2026-09-13","신청","받지않음"
"A196","E04","가상학생196","취소","2026-09-14","미신청","신청"
"A197","E04","가상학생197","취소","2026-09-14","신청","신청"
"A198","E04","가상학생198","취소","2026-09-14","신청","신청"
"A199","E04","가상학생199","취소","2026-09-14","신청","신청"
"A200","E04","가상학생200","취소","2026-09-14","미신청","받지않음"
